Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2 Nov,0.4,0.4,0.4,0.4,27.6,32.1,25.2,6.4,27.8
3 Nov,0.0,0.0,0.0,0.0,27.5,31.4,25.1,7.1,27.8
4 Nov,0.8,0.8,0.8,0.8,28.9,32.8,24.3,9.1,29.6
5 Nov,40.4,23.4,27.0,29.6,25.4,27.9,22.4,6.0,51.9
6 Nov,0.6,0.2,0.2,0.4,26.9,31.1,25.0,7.7,40.7
7 Nov,53.0,38.8,52.0,52.8,26.4,31.8,23.4,7.2,22.2
8 Nov,34.2,29.2,32.6,32.6,26.1,31.9,23.1,5.9,40.7
9 Nov,0.8,0.6,0.8,0.8,26.3,28.7,25.0,6.6,25.9
10 Nov,19.8,3.4,4.8,9.4,26.6,30.6,24.4,6.6,22.2
11 Nov,0.4,0.4,0.4,0.4,27.2,31.6,25.1,5.8,27.8
12 Nov,21.2,6.6,9.2,13.8,26.3,31.9,24.4,7.0,24.1
13 Nov,3.4,3.4,3.4,3.4,27.0,30.4,24.5,7.1,27.8
14 Nov,13.2,5.6,7.0,11.0,27.3,31.5,23.6,5.9,29.6
15 Nov,7.0,3.0,4.4,6.8,28.0,32.4,24.0,7.9,40.7
16 Nov,16.4,10.2,13.4,14.2,27.2,33.3,24.3,7.4,31.5
17 Nov,0.0,0.0,0.0,0.0,27.8,31.8,24.9,5.6,20.4
18 Nov,0.0,0.0,0.0,0.0,28.5,33.1,25.9,6.3,31.5
19 Nov,6.0,2.2,3.4,4.4,26.1,27.5,23.5,5.7,38.9
20 Nov,0.2,0.2,0.2,0.2,28.1,31.7,24.9,8.6,31.5
21 Nov,11.0,11.0,11.0,11.0,28.6,33.1,23.2,8.9,40.7
22 Nov,2.2,2.2,2.2,2.2,30.0,33.9,26.0,8.2,37.0
23 Nov,3.6,2.8,3.0,3.4,27.6,30.3,24.1,6.4,46.3
24 Nov,13.4,13.4,13.4,13.4,28.7,33.9,23.7,6.5,38.9
25 Nov,5.2,14.6,16.6,17.4,27.8,31.3,24.5,6.3,27.8
26 Nov,1.6,1.6,1.6,1.6,27.5,31.5,25.6,7.2,24.1
27 Nov,1.4,0.6,1.0,1.4,26.4,28.8,24.6,5.7,42.6
28 Nov,2.2,2.2,2.2,2.2,27.2,32.4,24.9,8.4,31.5
29 Nov,0.0,0.0,0.0,0.0,27.6,32.0,25.1,7.4,35.2
30 Nov,52.8,33.0,44.6,50.8,27.2,32.9,22.8,7.8,35.2
