year,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,temp_mean_daily_min,wet_bulb_temperature,Household Electricity Consumption (kWh)
2005,1,96.7,8,163.2,83.3,6.5,23.9,24.395967741935483,418.1
2005,2,7.2,3,8.4,77.7,9.1,25.3,25.330357142857142,408.3
2005,3,20.5,12,82.4,80.3,7.2,25.4,25.70577956989247,446.9
2005,4,49.6,10,81.7,81.0,7.0,25.7,26.036805555555556,496.2
2005,5,58.7,20,331.1,84.6,5.5,25.2,26.366532258064517,496.8
2005,6,27.6,15,82.3,82.7,5.4,26.1,26.405694444444443,519.7
2005,7,26.3,15,104.0,84.0,5.4,25.2,25.849865591397847,497.7
2005,8,13.8,13,58.5,82.9,6.5,25.5,25.900134408602153,489.3
2005,9,43.4,18,175.7,84.2,6.2,25.2,25.996111111111112,477.7
2005,10,76.2,19,314.5,85.2,5.1,24.7,25.58185483870968,480.8
2005,11,133.8,23,362.9,86.4,4.4,24.4,25.43236111111111,479.7
2005,12,47.3,19,166.0,85.6,4.5,24.6,25.326478494623657,441.6
2006,1,131.7,20,454.4,87.8,4.8,24.1,24.865591397849464,430.5
2006,2,44.5,8,115.5,84.0,7.4,24.8,25.37842261904762,418.2
2006,3,35.7,9,83.1,81.3,7.1,25.2,25.692204301075268,433.6
2006,4,43.3,18,239.8,87.0,5.3,24.8,25.854444444444447,472.2
2006,5,36.6,14,205.7,85.2,5.0,25.4,26.103629032258063,481.2
2006,6,37.3,16,236.8,86.3,5.5,25.1,25.99152777777778,491.1
2006,7,54.8,15,153.8,83.8,6.9,25.7,26.21155913978495,472.6
2006,8,30.4,14,127.3,81.9,6.7,25.5,25.854569892473116,500.8
2006,9,32.2,12,83.3,81.0,5.3,25.4,25.40486111111111,498.7
2006,10,37.8,8,102.0,80.9,4.8,25.4,25.69327956989247,483.3
2006,11,64.0,18,185.6,87.4,5.6,24.5,25.550416666666667,491.2
2006,12,198.0,22,765.9,88.5,3.2,24.3,25.12217741935484,454.1
2007,1,143.8,20,450.1,86.8,4.1,24.2,24.72083333333333,434.0
2007,2,51.4,3,105.5,82.5,7.6,24.5,24.870535714285715,407.2
2007,3,68.8,21,269.1,84.9,5.8,24.6,25.42043010752688,413.5
2007,4,102.4,14,240.2,84.7,5.9,25.2,26.00986111111111,467.1
2007,5,21.9,16,127.2,84.8,5.5,25.3,26.221236559139783,495.8
2007,6,38.0,12,139.0,82.8,6.0,25.4,26.059583333333336,507.8
2007,7,23.0,19,141.7,84.8,3.8,25.1,25.697580645161292,513.8
